銘柄コード,銘柄名,市場
138A,光フードＳ,グロース
1407,ウエストＨＤ,スタンダード
1434,ＪＥＳＣＯ,スタンダード
2152,幼児活動研,スタンダード
2934,ジェイフロ,グロース
3070,ジェリビンズ,グロース
3185,夢展望,グロース
323A,フライヤー,グロース
3294,イーグランド,スタンダード
3444,菊池製作,スタンダード
3461,パルマ,スタンダード
3634,ソケッツ,スタンダード
3691,デジプラ,グロース
3772,ウェルス,スタンダード
3796,いい生活,スタンダード
3804,システムディ,スタンダード
3808,ＯＫＷＥＢ,グロース
3891,高度紙,スタンダード
3929,Ｓワイヤー,グロース
4288,アズジェント,スタンダード
4395,アクリート,グロース
4425,Ｋｕｄａｎ,グロース
4437,ＧＤＨ,グロース
4769,ＩＣ,スタンダード
4800,オリコン,スタンダード
485A,ＰｏｗｅｒＸ,グロース
4970,東洋合成,スタンダード
554A,バトンズ,グロース
556A,犬猫生活,グロース
5592,くすりの窓口,グロース
559A,梅乃宿酒造,スタンダード
5609,日鋳造,スタンダード
5987,オーネックス,スタンダード
5992,中発条,スタンダード
6049,イトクロ,グロース
6085,アーキテクツ,グロース
6265,コンバム,スタンダード
6380,オリチェン,スタンダード
6433,ヒーハイスト,スタンダード
6470,大豊工業,スタンダード
6524,湖北工業,スタンダード
6555,ＭＳコンサル,スタンダード
6629,Ｔホライゾン,スタンダード
6643,戸上電,スタンダード
6769,ザイン,スタンダード
7031,インバウＴ,グロース
7050,Ｆインタ,グロース
7073,ジェイック,グロース
7082,ジモティー,グロース
7112,キューブ,グロース
7376,ＢＣＣ,グロース
8918,ランド,スタンダード
8938,グロームＨＤ,グロース
